Chunk,Download Time (s),Effective Data Rate (bps)
1,0.000192542,41549376239.9892
2,0.000137584,58146296080.939644
3,0.000172042,46500273189.10499
4,0.000126375,63303659742.82889
5,0.0001085,73732718894.00922
6,0.00021125,37869822485.2071
7,0.000227625,35145524437.12246
8,0.000228167,35062037893.297455
9,0.000213666,37441614482.41648
10,0.000192417,41576367992.4331
11,0.000174042,45965916273.0835
12,0.000220292,36315435876.019104
13,0.0002255,35476718403.54767
14,0.000235208,34012448556.171562
15,0.000184083,43458657236.13805
16,0.000189083,42309461982.30407
17,0.000196833,40643591267.72442
18,0.000201583,39685886210.64276
19,0.000153875,51990251827.78229
20,0.000220333,36308678227.95496
21,0.000344375,23230490018.14882
22,0.000150084,53303483382.63905
23,0.000225875,35417819590.48146
24,0.000139291,57433717899.93611
25,0.000235875,33916269210.386856
26,0.000229458,34864768280.03381
27,0.00015925,50235478806.90738
28,0.00014325,55846422338.56893
29,0.000189709,42169849611.77382
30,0.000215875,37058482918.35553
31,0.000187917,42571986568.53824
32,0.000197666,40472311879.635345
33,0.000236375,33844526705.44685
34,0.00027175,29438822447.102116
35,0.000368041,21736708681.91316
36,0.000427417,18717084252.615128
37,0.000399459,20027086634.673397
38,0.000432834,18482836376.07027
39,0.000392709,20371318202.53674
40,0.00026825,29822926374.650513
41,0.0002585,30947775628.626694
42,0.000228875,34953577280.17477
43,0.000268958,29744421062.02455
44,0.000310834,25737210215.098732
45,0.000254958,31377717114.191357
46,0.000255916,31260257271.917347
47,0.00024125,33160621761.65803
48,0.00026725,29934518241.34705
49,0.000203709,39271706208.36585
50,0.000182166,43915988713.590904
51,0.000200125,39975015615.24048
52,0.000270458,29579454111.174377
53,0.000255208,31346979718.504124
54,0.000218,36697247706.42201
55,0.000245917,32531301211.384327
56,0.000244208,32758959575.443886
57,0.000265916,30084688397.83992
58,0.000224625,35614913745.130775
59,0.000251875,31761786600.49628
60,0.000238584,33531167219.930927
61,0.000200875,39825762289.98133
62,0.000216,37037037037.03704
63,0.000206208,38795779019.24271
64,0.000122167,65484132376.17359
65,0.000150292,53229712825.6993
66,0.000135875,58877644894.20423
67,0.000224709,35601600291.93312
68,0.000216333,36980026163.36851
69,0.000196708,40669418630.660675
70,0.000192375,41585445094.217026
71,0.000192375,41585445094.217026
72,0.000201167,39767953988.477234
73,0.000200458,39908609284.737946
74,0.000206167,38803494254.65763
75,0.0002765,28933092224.231464
76,0.000246583,32443436895.487526
77,0.000242,33057851239.669422
78,0.000211292,37862294833.68987
79,0.00024425,32753326509.723644
80,0.000209458,38193814511.73982
81,0.000230209,34751030585.25079
82,0.000197667,40472107129.66757
83,0.00021825,36655211912.94387
84,0.000215416,37137445686.48568
85,0.0002045,39119804400.978
86,0.000220542,36274269753.607025
87,0.000197917,40420984554.13128
88,0.000179792,44495861884.84471
89,0.000186583,42876360654.507645
90,0.000199625,40075140889.16719
91,0.00018575,43068640646.02961
92,0.000240667,33240951189.8183
93,0.000191625,41748206131.76778
94,0.000219125,36508841985.16828
95,0.0002155,37122969837.587006
96,0.000219458,36453444394.827255
97,0.000205542,38921485633.10662
98,0.00022825,35049288061.33626
99,0.000207291,38593088942.5976
100,0.000191041,41875827701.90692
